wallet_index,rank_by_risk,true_label,predicted_label,fraud_probability,risk_score,feature,feature_value,shap_value,abs_shap_value,direction
197225,6,1,1,1.0,100.0,first_received_block,457730.0,0.02375173481334174,0.02375173481334174,increases risk
205563,7,1,1,1.0,100.0,first_sent_block,435562.0,0.05593082938196067,0.05593082938196067,increases risk
205563,7,1,1,1.0,100.0,first_received_block,435561.0,0.04312357118048847,0.04312357118048847,increases risk
205563,7,1,1,1.0,100.0,blocks_btwn_txs_max,1.0,0.04241425683061216,0.04241425683061216,increases risk
205563,7,1,1,1.0,100.0,total_txs,2.0,0.04007648902897696,0.04007648902897696,increases risk
205563,7,1,1,1.0,100.0,lifetime_in_blocks,1.0,0.039140155449717925,0.039140155449717925,increases risk
205563,7,1,1,1.0,100.0,blocks_btwn_txs_mean,1.0,0.03795492254743154,0.03795492254743154,increases risk
205563,7,1,1,1.0,100.0,last_block_appeared_in,435562.0,0.02665985958428817,0.02665985958428817,increases risk
205563,7,1,1,1.0,100.0,blocks_btwn_txs_total,1.0,0.025883071984556544,0.025883071984556544,increases risk
205563,7,1,1,1.0,100.0,btc_sent_total,0.0031,0.024747711444584458,0.024747711444584458,increases risk
205563,7,1,1,1.0,100.0,first_block_appeared_in,435561.0,0.02199883825261759,0.02199883825261759,increases risk
195298,8,1,1,1.0,100.0,fees_median,0.0002,0.04440257623009255,0.04440257623009255,increases risk
195298,8,1,1,1.0,100.0,transacted_w_address_total,2.0,0.04365376519875441,0.04365376519875441,increases risk
195298,8,1,1,1.0,100.0,total_txs,2.0,0.03767177895940666,0.03767177895940666,increases risk
195298,8,1,1,1.0,100.0,fees_min,0.0002,0.035642671410142414,0.035642671410142414,increases risk
195298,8,1,1,1.0,100.0,fees_as_share_max,0.0002,0.03099599651502653,0.03099599651502653,increases risk
195298,8,1,1,1.0,100.0,blocks_btwn_txs_mean,1.0,0.03037573060026468,0.03037573060026468,increases risk
195298,8,1,1,1.0,100.0,lifetime_in_blocks,1.0,0.028289882319228285,0.028289882319228285,increases risk
195298,8,1,1,1.0,100.0,blocks_btwn_txs_max,1.0,0.027564365092979215,0.027564365092979215,increases risk
195298,8,1,1,1.0,100.0,fees_mean,0.0002,0.02480960463798282,0.02480960463798282,increases risk
195298,8,1,1,1.0,100.0,blocks_btwn_txs_total,1.0,0.020682585436398022,0.020682585436398022,increases risk
205577,9,1,1,1.0,100.0,transacted_w_address_total,2.0,0.05484958734705919,0.05484958734705919,increases risk
205577,9,1,1,1.0,100.0,fees_median,0.00015,0.0427896731166971,0.0427896731166971,increases risk
205577,9,1,1,1.0,100.0,total_txs,2.0,0.03581719785818631,0.03581719785818631,increases risk
205577,9,1,1,1.0,100.0,blocks_btwn_txs_max,2.0,0.034964574025168706,0.034964574025168706,increases risk
205577,9,1,1,1.0,100.0,lifetime_in_blocks,2.0,0.03149091560614772,0.03149091560614772,increases risk
205577,9,1,1,1.0,100.0,fees_as_share_max,0.0002,0.03116719238132163,0.03116719238132163,increases risk
205577,9,1,1,1.0,100.0,blocks_btwn_txs_mean,2.0,0.030636584802894096,0.030636584802894096,increases risk
205577,9,1,1,1.0,100.0,fees_max,0.0002,0.022545943375105713,0.022545943375105713,increases risk
205577,9,1,1,1.0,100.0,fees_mean,0.00015,0.022480547425724907,0.022480547425724907,increases risk
205577,9,1,1,1.0,100.0,btc_sent_total,0.07064309,0.021602547704258897,0.021602547704258897,increases risk
205660,10,1,1,1.0,100.0,first_sent_block,457731.0,0.045232917694346814,0.045232917694346814,increases risk
205660,10,1,1,1.0,100.0,blocks_btwn_txs_max,1.0,0.04078711954449693,0.04078711954449693,increases risk
205660,10,1,1,1.0,100.0,lifetime_in_blocks,1.0,0.03831905673865669,0.03831905673865669,increases risk
205660,10,1,1,1.0,100.0,total_txs,2.0,0.03697013360938168,0.03697013360938168,increases risk
205660,10,1,1,1.0,100.0,blocks_btwn_txs_mean,1.0,0.036062235336289127,0.036062235336289127,increases risk
205660,10,1,1,1.0,100.0,fees_max,0.04238,0.03325897554695773,0.03325897554695773,increases risk
205660,10,1,1,1.0,100.0,first_received_block,457730.0,0.028315876156818392,0.028315876156818392,increases risk
205660,10,1,1,1.0,100.0,fees_total,0.04500695,0.025764938202259162,0.025764938202259162,increases risk
205660,10,1,1,1.0,100.0,blocks_btwn_txs_total,1.0,0.024127953812178027,0.024127953812178027,increases risk
205660,10,1,1,1.0,100.0,last_block_appeared_in,457731.0,0.02207334453512994,0.02207334453512994,increases risk
