wallet_index,rank_by_risk,true_label,predicted_label,original_fraud_probability,original_risk_score,counterfactual_fraud_probability,counterfactual_risk_score,risk_score_reduction,feature_changed,old_value,new_value,explanation
200792,3,1,1,1.0,100.0,0.38,38.0,62.0,fees_max,0.0553216,0.00186485,Changing fees_max from 0.0553216 to 0.00186485 reduces the fraud probability from 1.000 to 0.380.
200792,3,1,1,1.0,100.0,0.18,18.0,82.0,first_sent_block,455719.0,0.0,Changing first_sent_block from 455719.0 to 0.0 reduces the fraud probability from 1.000 to 0.180.
200792,3,1,1,1.0,100.0,0.125,12.5,87.5,first_received_block,455713.0,405312.0,Changing first_received_block from 455713.0 to 405312.0 reduces the fraud probability from 1.000 to 0.125.
200792,3,1,1,1.0,100.0,0.09,9.0,91.0,fees_mean,0.02835772,0.00182174,Changing fees_mean from 0.02835772 to 0.00182174 reduces the fraud probability from 1.000 to 0.090.
200792,3,1,1,1.0,100.0,0.07,7.000000000000001,93.0,blocks_btwn_txs_median,6.0,0.0,Changing blocks_btwn_txs_median from 6.0 to 0.0 reduces the fraud probability from 1.000 to 0.070.
197154,4,1,1,1.0,100.0,0.485,48.5,51.5,fees_as_share_max,0.000199834792344,1.9776941755e-05,Changing fees_as_share_max from 0.000199834792344 to 1.9776941755e-05 reduces the fraud probability from 1.000 to 0.485.
197154,4,1,1,1.0,100.0,0.295,29.5,70.5,total_txs,2.0,1.0,Changing total_txs from 2.0 to 1.0 reduces the fraud probability from 1.000 to 0.295.
197154,4,1,1,1.0,100.0,0.2,20.0,80.0,fees_as_share_total,0.0003966319584766,2.072961208590305e-05,Changing fees_as_share_total from 0.0003966319584766 to 2.072961208590305e-05 reduces the fraud probability from 1.000 to 0.200.
197154,4,1,1,1.0,100.0,0.14,14.000000000000002,86.0,num_txs_as receiver,2.0,1.0,Changing num_txs_as receiver from 2.0 to 1.0 reduces the fraud probability from 1.000 to 0.140.
197154,4,1,1,1.0,100.0,0.09,9.0,91.0,fees_median,0.0002,0.0018092525,Changing fees_median from 0.0002 to 0.0018092525 reduces the fraud probability from 1.000 to 0.090.
197156,5,1,1,1.0,100.0,0.42,42.0,58.00000000000001,fees_max,0.044661,0.00186485,Changing fees_max from 0.044661 to 0.00186485 reduces the fraud probability from 1.000 to 0.420.
197156,5,1,1,1.0,100.0,0.215,21.5,78.5,first_sent_block,439587.0,0.0,Changing first_sent_block from 439587.0 to 0.0 reduces the fraud probability from 1.000 to 0.215.
197156,5,1,1,1.0,100.0,0.145,14.499999999999998,85.5,first_received_block,439584.0,405312.0,Changing first_received_block from 439584.0 to 405312.0 reduces the fraud probability from 1.000 to 0.145.
197156,5,1,1,1.0,100.0,0.115,11.5,88.5,btc_transacted_max,0.0067,0.010930635000000001,Changing btc_transacted_max from 0.0067 to 0.010930635000000001 reduces the fraud probability from 1.000 to 0.115.
197156,5,1,1,1.0,100.0,0.095,9.5,90.5,lifetime_in_blocks,3.0,0.0,Changing lifetime_in_blocks from 3.0 to 0.0 reduces the fraud probability from 1.000 to 0.095.
197225,6,1,1,1.0,100.0,0.185,18.5,81.5,fees_max,0.04238,0.00186485,Changing fees_max from 0.04238 to 0.00186485 reduces the fraud probability from 1.000 to 0.185.
197225,6,1,1,1.0,100.0,0.07,7.000000000000001,93.0,fees_mean,0.02267969,0.00182174,Changing fees_mean from 0.02267969 to 0.00182174 reduces the fraud probability from 1.000 to 0.070.
197225,6,1,1,1.0,100.0,0.02,2.0,98.0,fees_total,0.04535938,0.00189014,Changing fees_total from 0.04535938 to 0.00189014 reduces the fraud probability from 1.000 to 0.020.
197225,6,1,1,1.0,100.0,0.015,1.5,98.5,btc_sent_mean,0.00245,0.0,Changing btc_sent_mean from 0.00245 to 0.0 reduces the fraud probability from 1.000 to 0.015.
197225,6,1,1,1.0,100.0,0.01,1.0,99.0,btc_received_total,0.0049,0.00045729,Changing btc_received_total from 0.0049 to 0.00045729 reduces the fraud probability from 1.000 to 0.010.
205563,7,1,1,1.0,100.0,0.44,44.0,56.00000000000001,fees_max,0.0223518,0.00186485,Changing fees_max from 0.0223518 to 0.00186485 reduces the fraud probability from 1.000 to 0.440.
205563,7,1,1,1.0,100.0,0.2,20.0,80.0,first_sent_block,435562.0,0.0,Changing first_sent_block from 435562.0 to 0.0 reduces the fraud probability from 1.000 to 0.200.
205563,7,1,1,1.0,100.0,0.115,11.5,88.5,first_received_block,435561.0,405312.0,Changing first_received_block from 435561.0 to 405312.0 reduces the fraud probability from 1.000 to 0.115.
205563,7,1,1,1.0,100.0,0.09,9.0,91.0,blocks_btwn_txs_max,1.0,0.0,Changing blocks_btwn_txs_max from 1.0 to 0.0 reduces the fraud probability from 1.000 to 0.090.
205563,7,1,1,1.0,100.0,0.08,8.0,92.0,lifetime_in_blocks,1.0,0.0,Changing lifetime_in_blocks from 1.0 to 0.0 reduces the fraud probability from 1.000 to 0.080.
195298,8,1,1,1.0,100.0,0.485,48.5,51.5,fees_min,0.0002,0.0015755,Changing fees_min from 0.0002 to 0.0015755 reduces the fraud probability from 1.000 to 0.485.
195298,8,1,1,1.0,100.0,0.27,27.0,73.0,fees_as_share_max,0.0002,1.9776941755e-05,Changing fees_as_share_max from 0.0002 to 1.9776941755e-05 reduces the fraud probability from 1.000 to 0.270.
195298,8,1,1,1.0,100.0,0.15,15.0,85.0,fees_as_share_mean,0.00017212169975,1.789438434698425e-05,Changing fees_as_share_mean from 0.00017212169975 to 1.789438434698425e-05 reduces the fraud probability from 1.000 to 0.150.
195298,8,1,1,1.0,100.0,0.1,10.0,90.0,fees_as_share_median,0.00017212169975,1.679122591538605e-05,Changing fees_as_share_median from 0.00017212169975 to 1.679122591538605e-05 reduces the fraud probability from 1.000 to 0.100.
195298,8,1,1,1.0,100.0,0.045,4.5,95.5,fees_as_share_total,0.0003442433995001,2.072961208590305e-05,Changing fees_as_share_total from 0.0003442433995001 to 2.072961208590305e-05 reduces the fraud probability from 1.000 to 0.045.
205577,9,1,1,1.0,100.0,0.475,47.5,52.5,fees_as_share_max,0.0002,1.9776941755e-05,Changing fees_as_share_max from 0.0002 to 1.9776941755e-05 reduces the fraud probability from 1.000 to 0.475.
205577,9,1,1,1.0,100.0,0.285,28.499999999999996,71.50000000000001,fees_as_share_mean,0.0001412634871495,1.789438434698425e-05,Changing fees_as_share_mean from 0.0001412634871495 to 1.789438434698425e-05 reduces the fraud probability from 1.000 to 0.285.
205577,9,1,1,1.0,100.0,0.165,16.5,83.5,fees_as_share_median,0.0001412634871495,1.679122591538605e-05,Changing fees_as_share_median from 0.0001412634871495 to 1.679122591538605e-05 reduces the fraud probability from 1.000 to 0.165.
205577,9,1,1,1.0,100.0,0.09,9.0,91.0,fees_as_share_total,0.000282526974299,2.072961208590305e-05,Changing fees_as_share_total from 0.000282526974299 to 2.072961208590305e-05 reduces the fraud probability from 1.000 to 0.090.
205577,9,1,1,1.0,100.0,0.05,5.0,95.0,fees_min,0.0001,0.0015755,Changing fees_min from 0.0001 to 0.0015755 reduces the fraud probability from 1.000 to 0.050.
205660,10,1,1,1.0,100.0,0.225,22.5,77.5,fees_max,0.04238,0.00186485,Changing fees_max from 0.04238 to 0.00186485 reduces the fraud probability from 1.000 to 0.225.
205660,10,1,1,1.0,100.0,0.095,9.5,90.5,fees_mean,0.022503475,0.00182174,Changing fees_mean from 0.022503475 to 0.00182174 reduces the fraud probability from 1.000 to 0.095.
205660,10,1,1,1.0,100.0,0.05,5.0,95.0,fees_total,0.04500695,0.00189014,Changing fees_total from 0.04500695 to 0.00189014 reduces the fraud probability from 1.000 to 0.050.
205660,10,1,1,1.0,100.0,0.02,2.0,98.0,first_sent_block,457731.0,0.0,Changing first_sent_block from 457731.0 to 0.0 reduces the fraud probability from 1.000 to 0.020.
205660,10,1,1,1.0,100.0,0.015,1.5,98.5,num_txs_as_sender,1.0,0.0,Changing num_txs_as_sender from 1.0 to 0.0 reduces the fraud probability from 1.000 to 0.015.
