wallet_index,true_label,predicted_label,fraud_probability,risk_score,risk_level,recommended_action,top_shap_drivers,top_lime_drivers,counterfactual_recommendation
206769,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
206799,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
206809,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
204562,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
204601,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
204645,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
204673,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
206869,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
195497,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
206916,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
195551,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
201636,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
201681,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
201527,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
195507,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
199692,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
204446,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
204475,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
207228,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
207216,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
199616,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
207307,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
204407,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
199606,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
207464,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
207481,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
207572,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
204236,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
204291,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
201816,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
197832,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
197826,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
197823,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
200541,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
204318,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
207655,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
204175,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
200089,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
200109,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
207732,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
207850,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
204010,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
195116,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
204083,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
197994,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
197944,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
201773,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
200499,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
195727,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
207972,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
208074,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
208104,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
208141,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
200137,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
208187,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
208242,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
208268,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
208353,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
208388,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
196648,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
198020,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
195066,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
208441,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
208540,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
195804,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
208644,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
195054,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
208939,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
195039,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
203662,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
203669,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
203702,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
208964,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
208989,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
209037,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
195834,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
203485,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
203494,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
195014,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
198181,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
196655,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
201905,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
201933,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
200472,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
201928,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
201948,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
209133,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
209165,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
209188,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
209272,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
209287,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
198224,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
196620,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
194738,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
202036,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
195903,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
200216,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
200213,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
209564,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
209563,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
209610,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
209682,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
209726,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
209818,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
194947,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
203286,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
209864,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
198415,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
196525,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
209934,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
199188,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
210071,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
210082,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
203169,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
200285,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
203221,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
203241,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
210100,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
210219,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
203109,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
203122,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
203158,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
196047,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
210360,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
196041,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
203058,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
203088,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
210639,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
194792,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
202222,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
202218,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
210648,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
202948,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
199077,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
196074,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
210737,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
210771,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
210795,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
199069,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
210900,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
210922,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
199055,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
202890,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
194805,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
202292,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
202346,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
194830,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
211013,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
211142,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
211246,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
202749,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
202745,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
202782,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
194819,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
202592,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
196349,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
198612,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
202515,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
202615,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
202578,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
200653,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
200699,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
194555,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
205402,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
205394,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
205421,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
195289,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
205480,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
197283,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
197110,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
